"","Transaction","Item"
"1",1,"Bread"
"2",2,"Scandinavian"
"3",2,"Scandinavian"
"4",3,"Hot chocolate"
"5",3,"Jam"
"6",3,"Cookies"
"7",4,"Muffin"
"8",5,"Coffee"
"9",5,"Pastry"
"10",5,"Bread"
"11",6,"Medialuna"
"12",6,"Pastry"
"13",6,"Muffin"
"14",7,"Medialuna"
"15",7,"Pastry"
"16",7,"Coffee"
"17",7,"Tea"
"18",8,"Pastry"
"19",8,"Bread"
"20",9,"Bread"
"21",9,"Muffin"
"22",10,"Scandinavian"
"23",10,"Medialuna"
"24",11,"Bread"
"25",11,"Medialuna"
"26",11,"Bread"
"27",12,"Jam"
"28",12,"Coffee"
"29",12,"Tartine"
"30",12,"Pastry"
"31",12,"Tea"
"32",13,"Basket"
"33",13,"Bread"
"34",13,"Coffee"
"35",14,"Bread"
"36",14,"Medialuna"
"37",14,"Pastry"
"38",15,"Mineral water"
"39",15,"Scandinavian"
"40",16,"Bread"
"41",16,"Medialuna"
"42",16,"Coffee"
"43",17,"Hot chocolate"
"44",18,"Farm House"
"45",19,"Farm House"
"46",19,"Bread"
"47",20,"Bread"
"48",20,"Medialuna"
"49",21,"Coffee"
"50",21,"Coffee"
"51",21,"Medialuna"
"52",21,"Bread"
"53",22,"Jam"
"54",23,"Scandinavian"
"55",23,"Muffin"
"56",24,"Bread"
"57",25,"Scandinavian"
"58",26,"Fudge"
"59",27,"Scandinavian"
"60",28,"Coffee"
"61",28,"Bread"
"62",29,"Bread"
"63",29,"Jam"
"64",30,"Bread"
"65",31,"Basket"
"66",32,"Scandinavian"
"67",32,"Muffin"
"68",33,"Coffee"
"69",34,"Coffee"
"70",34,"Muffin"
"71",35,"Muffin"
"72",35,"Scandinavian"
"73",36,"Tea"
"74",36,"Bread"
"75",37,"Coffee"
"76",37,"Bread"
"77",38,"Bread"
"78",38,"Tea"
"79",39,"Scandinavian"
"80",40,"Juice"
"81",40,"Tartine"
"82",40,"Coffee"
"83",40,"Muffin"
"84",41,"Scandinavian"
"85",42,"Bread"
"86",42,"Tea"
"87",43,"Scandinavian"
"88",43,"Fudge"
"89",44,"Coffee"
"90",44,"Medialuna"
"91",45,"Coffee"
"92",45,"Hot chocolate"
"93",45,"Medialuna"
"94",46,"Coffee"
"95",47,"Ella's Kitchen Pouches"
"96",47,"Juice"
"97",47,"Bread"
"98",47,"Muffin"
"99",47,"Jam"
"100",48,"Coffee"
"101",49,"Coffee"
"102",49,"Coffee"
"103",49,"Medialuna"
"104",50,"Bread"
"105",50,"Victorian Sponge"
"106",51,"Bread"
"107",52,"Scandinavian"
"108",54,"Bread"
"109",55,"Frittata"
"110",55,"Coffee"
"111",55,"Tea"
"112",55,"Hearty & Seasonal"
"113",56,"Coffee"
"114",56,"Frittata"
