"","Transaction","Item"
"1",2,"Scandinavian"
"2",2,"Scandinavian"
"3",3,"Hot chocolate"
"4",3,"Jam"
"5",3,"Cookies"
"6",4,"Muffin"
"7",5,"Pastry"
"8",6,"Medialuna"
"9",6,"Pastry"
"10",6,"Muffin"
"11",7,"Medialuna"
"12",7,"Pastry"
"13",7,"Tea"
"14",8,"Pastry"
"15",9,"Muffin"
"16",10,"Scandinavian"
"17",10,"Medialuna"
"18",11,"Medialuna"
"19",12,"Jam"
"20",12,"Tartine"
"21",12,"Pastry"
"22",12,"Tea"
"23",13,"Basket"
"24",14,"Medialuna"
"25",14,"Pastry"
"26",15,"Mineral water"
"27",15,"Scandinavian"
"28",16,"Medialuna"
"29",17,"Hot chocolate"
"30",18,"Farm House"
"31",19,"Farm House"
"32",20,"Medialuna"
"33",21,"Medialuna"
"34",22,"Jam"
"35",23,"Scandinavian"
"36",23,"Muffin"
"37",25,"Scandinavian"
"38",26,"Fudge"
"39",27,"Scandinavian"
"40",29,"Jam"
"41",31,"Basket"
"42",32,"Scandinavian"
"43",32,"Muffin"
"44",34,"Muffin"
"45",35,"Muffin"
"46",35,"Scandinavian"
"47",36,"Tea"
"48",38,"Tea"
"49",39,"Scandinavian"
"50",40,"Juice"
"51",40,"Tartine"
"52",40,"Muffin"
"53",41,"Scandinavian"
"54",42,"Tea"
"55",43,"Scandinavian"
"56",43,"Fudge"
"57",44,"Medialuna"
"58",45,"Hot chocolate"
"59",45,"Medialuna"
"60",47,"Ella's Kitchen Pouches"
"61",47,"Juice"
"62",47,"Muffin"
"63",47,"Jam"
"64",49,"Medialuna"
"65",50,"Victorian Sponge"
"66",52,"Scandinavian"
"67",55,"Frittata"
"68",55,"Tea"
"69",55,"Hearty & Seasonal"
"70",56,"Frittata"
"71",57,"Scandinavian"
"72",58,"Victorian Sponge"
"73",58,"Hot chocolate"
"74",58,"Tea"
"75",58,"Soup"
"76",59,"Tea"
"77",60,"Cookies"
"78",60,"Juice"
"79",62,"Pick and Mix Bowls"
"80",62,"Hearty & Seasonal"
"81",62,"Hearty & Seasonal"
"82",62,"Smoothies"
"83",64,"Cake"
"84",65,"Tartine"
"85",65,"Mighty Protein"
"86",65,"Tea"
"87",66,"Hearty & Seasonal"
"88",66,"Frittata"
"89",66,"Mineral water"
"90",67,"Hearty & Seasonal"
"91",67,"Mineral water"
"92",67,"Muffin"
"93",68,"Frittata"
"94",68,"Tea"
"95",68,"Scandinavian"
"96",68,"Chicken sand"
"97",69,"Tea"
"98",69,"Victorian Sponge"
"99",70,"Fudge"
"100",71,"Muffin"
"101",75,"Jam"
"102",75,"Frittata"
"103",77,"Scandinavian"
"104",78,"Fudge"
"105",79,"Fudge"
"106",79,"Tea"
"107",79,"Muffin"
"108",80,"Frittata"
"109",81,"Cake"
"110",82,"Tartine"
"111",85,"Pastry"
"112",85,"Medialuna"
"113",86,"Juice"
"114",88,"Jam"
"115",91,"Tea"
"116",93,"Coke"
"117",95,"Tea"
"118",95,"Pastry"
"119",95,"Farm House"
"120",96,"Pastry"
"121",96,"Pastry"
"122",96,"Juice"
"123",97,"Pastry"
"124",97,"Juice"
"125",98,"Farm House"
"126",99,"Pastry"
"127",99,"Pastry"
"128",101,"Pastry"
"129",102,"Farm House"
"130",104,"Medialuna"
"131",104,"Muffin"
"132",105,"Tea"
"133",105,"Cake"
"134",106,"Pastry"
"135",106,"Pastry"
"136",107,"Tea"
"137",108,"Farm House"
"138",108,"Muffin"
"139",109,"Muffin"
"140",109,"Pastry"
"141",110,"Pastry"
"142",113,"Cake"
"143",114,"Farm House"
"144",117,"Cookies"
"145",117,"Cake"
"146",117,"My-5 Fruit Shoot"
"147",118,"Cookies"
"148",118,"Cookies"
"149",118,"Tea"
"150",118,"Pastry"
"151",119,"Muffin"
"152",120,"Farm House"
"153",122,"Cookies"
"154",123,"Jam"
"155",123,"Juice"
"156",124,"Soup"
"157",125,"Tea"
"158",126,"Jam"
"159",127,"Farm House"
"160",128,"Tartine"
"161",128,"Tea"
"162",129,"Cake"
"163",130,"Muffin"
"164",132,"Tea"
"165",132,"Juice"
"166",132,"Pick and Mix Bowls"
"167",132,"Cookies"
"168",133,"Hearty & Seasonal"
"169",133,"Soup"
"170",134,"Hearty & Seasonal"
"171",134,"Tea"
"172",134,"Farm House"
"173",136,"Tea"
"174",136,"Soup"
"175",137,"Farm House"
"176",138,"Soup"
"177",138,"Hearty & Seasonal"
"178",139,"Muffin"
"179",139,"Hearty & Seasonal"
"180",140,"Cookies"
"181",142,"Tea"
"182",142,"Muffin"
"183",143,"Tea"
"184",144,"Soup"
"185",144,"Hearty & Seasonal"
"186",145,"Tea"
"187",145,"Focaccia"
"188",146,"Sandwich"
"189",147,"Tartine"
"190",148,"Fudge"
"191",151,"Coke"
"192",151,"Soup"
"193",152,"Muffin"
"194",153,"Tea"
"195",153,"Cookies"
"196",153,"Muffin"
"197",154,"Mighty Protein"
"198",154,"Hearty & Seasonal"
"199",154,"Coke"
"200",155,"Tea"
"201",155,"Muffin"
"202",155,"Sandwich"
"203",156,"Muffin"
"204",158,"Muffin"
"205",159,"Hot chocolate"
"206",159,"Cookies"
"207",160,"Mineral water"
"208",160,"Muffin"
"209",161,"Tea"
"210",162,"Muffin"
"211",163,"Juice"
"212",164,"Muffin"
"213",165,"Tea"
"214",166,"Muffin"
"215",167,"Sandwich"
"216",167,"Hearty & Seasonal"
"217",167,"Mineral water"
"218",168,"Tea"
"219",169,"Mineral water"
"220",171,"Soup"
"221",171,"Tea"
"222",173,"Muffin"
"223",176,"Cookies"
"224",178,"Pastry"
"225",179,"Pastry"
"226",180,"Jam"
"227",180,"Tea"
"228",181,"Tea"
"229",181,"Tea"
"230",182,"Pastry"
"231",182,"Pastry"
"232",182,"Ella's Kitchen Pouches"
"233",183,"Pastry"
"234",184,"Farm House"
"235",184,"Tea"
"236",185,"Tea"
"237",185,"Victorian Sponge"
"238",186,"Tea"
"239",186,"Pastry"
"240",190,"Pastry"
"241",190,"Pastry"
"242",191,"Soup"
"243",191,"Tea"
"244",195,"Scandinavian"
"245",196,"Cake"
"246",196,"Cookies"
"247",197,"Tea"
"248",198,"Cookies"
"249",201,"Pastry"
"250",204,"Scandinavian"
"251",205,"Pastry"
"252",206,"Scandinavian"
"253",206,"Pastry"
"254",207,"Hearty & Seasonal"
"255",207,"Muffin"
"256",210,"Scandinavian"
"257",211,"Soup"
"258",212,"Cookies"
"259",212,"Tartine"
"260",214,"Tea"
"261",214,"Tea"
"262",215,"Pastry"
"263",216,"Tartine"
"264",217,"Cookies"
"265",218,"Sandwich"
"266",219,"Tartine"
"267",220,"Pastry"
"268",221,"Scandinavian"
"269",222,"Scandinavian"
"270",223,"Alfajores"
"271",225,"Coke"
"272",225,"Soup"
"273",226,"Cake"
"274",227,"Tea"
"275",227,"Sandwich"
"276",227,"Soup"
"277",229,"Hearty & Seasonal"
"278",230,"Alfajores"
"279",231,"Cake"
"280",232,"Tea"
"281",232,"Tea"
"282",233,"Tea"
"283",233,"Soup"
"284",235,"Scandinavian"
"285",236,"Fudge"
"286",237,"Sandwich"
"287",238,"Tea"
"288",238,"Cookies"
"289",238,"Pastry"
"290",239,"Muffin"
"291",240,"Scandinavian"
"292",241,"Jam"
